t,y
0.0,0.4772469941107031
0.02,0.5321013989135618
0.04,0.5442028605984025
0.06,0.5030135106582915
0.08,0.6399192949079083
0.1,0.6423634433768703
0.12,0.6368892855082512
0.14,0.6302501294334831
0.16,0.7084648987381014
0.18,0.6580379199390284
0.2,0.7330264190884437
0.22,0.7806015116692427
0.24,0.7713857775329425
0.26,0.7664978873263482
0.28,0.7853488619586334
0.3,0.805535472969535
0.32,0.8778557544078135
0.34,0.9111331140387812
0.36,0.8661958849908556
0.38,0.8716649228203109
0.4,0.8649137888801532
0.42,0.8549541277796397
0.44,0.890114664261928
0.46,0.8286772559418897
0.48,0.8928353915197704
0.5,0.9550554767969056
0.52,0.9871543893160577
0.54,0.8768810045599861
0.56,0.936086883222586
0.58,1.0083869106021115
0.6,0.961693764168334
0.62,0.9603302976059583
0.64,0.9865148117415585
0.66,0.8888854844352525
0.68,0.962868838194059
0.7,1.0372962439368896
0.72,0.9398464945965455
0.74,1.0404489626266091
0.76,0.9701545129461328
0.78,0.9788205045539958
0.8,0.9630965892441138
0.82,0.9699950879092918
0.84,0.9376576936929947
0.86,0.8609537305923382
0.88,1.0027023199662188
0.9,0.9107062574656174
0.92,0.9565783261400526
0.94,0.9219386186971389
0.96,0.9477659408336816
0.98,0.842727740451158
1.0,0.8196624121666226
1.02,0.8456914352416652
1.04,0.8508225589389393
1.06,0.8128994183784498
1.08,0.7473599090191486
1.1,0.8646314878015787
1.12,0.7721228326347824
1.14,0.8446533103521676
1.16,0.7455873415341742
1.18,0.7905855575853838
1.2,0.6773851430682354
1.22,0.6745982713256082
1.24,0.6873461033332345
1.26,0.6468812840582436
1.28,0.6022944078683171
1.3,0.6481465386684968
1.32,0.5743232323488122
1.34,0.5477092214102804
1.36,0.49359328771730093
1.38,0.5346761786962065
1.4,0.492628939091016
1.42,0.4211844794298192
1.44,0.3994281447408178
1.46,0.3535298131697053
1.48,0.42308929593391165
1.5,0.44520419432973546
1.52,0.26332903466081137
1.54,0.26073484558944215
1.56,0.3682045782264785
1.58,0.21656928129691508
1.6,0.25708417731403144
1.62,0.15643613464809977
1.64,0.13829903447338765
1.66,0.1756979166901669
1.68,0.13662929474562052
1.7,0.12367042774896617
1.72,0.07665725255112596
1.74,0.0666222212673108
1.76,-0.0028333909082644184
1.78,-0.07817742068578774
1.8,0.025913922425086104
1.82,-0.0788186286881449
1.84,-0.14269047018257883
1.86,-0.13591884261762938
1.88,-0.1821529903875599
1.9,-0.19301584165490565
1.92,-0.23606639831778972
1.94,-0.22940555643625013
1.96,-0.22655402473986477
1.98,-0.3734165562895462
2.0,-0.28972808350296164
2.02,-0.305374899415551
2.04,-0.38603738966475837
2.06,-0.3107939467483053
2.08,-0.4463179495914362
2.1,-0.4204687668111592
2.12,-0.4915859120322807
2.14,-0.5199311776917549
2.16,-0.510035423407279
2.18,-0.5162784060174587
2.2,-0.4937424287274553
2.22,-0.5728719138261287
2.24,-0.5486729959390673
2.26,-0.6226070556443938
2.28,-0.6429307226412141
2.3,-0.7134400969819703
2.32,-0.7083548590733221
2.34,-0.6831137778784967
2.36,-0.6399403396945653
2.38,-0.7641321487971152
2.4,-0.6952380224566278
2.42,-0.7951799188973143
2.44,-0.719286485292528
2.46,-0.7620537651105982
2.48,-0.8018793809954569
2.5,-0.7384802116139607
2.52,-0.8665904590537885
2.54,-0.8632639711396677
